,Unnamed: 0,DAY,MONTH,YEAR,LATITUDE,LONGITUDE,Date,Time,Type,Depth,Depth.Error,Depth.Seismic.Stations,Magnitude,Magnitude.Type,Magnitude.Error,Magnitude.Seismic.Stations,Azimuthal.Gap,Horizontal.Distance,Horizontal.Error,Root.Mean.Square,ID,Source,Location.Source,Magnitude.Source,Status,I_D,FLAG_TSUNAMI,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
276,277,17,1,1983,38.026,20.228,1/17/1983,12:41:30,Earthquake,14.3,1.9,,7.0,MW,,,,,,1.3,USP0001SA1,US,US,NC,Reviewed,7283,Tsu,12,41,29.7,14.0,7.2,,7.2,6.1,,,,,GREECE,,GREECE: IONIAN SEA,130,,,,,,,,,,,,,,,,,,,,,,,,
277,278,17,1,1994,34.213,-118.537,1/17/1994,12:30:55,Earthquake,18.202,0.403,0.0,6.7,MW,,0.0,29.7,,,0.31,CI3144585,CI,CI,CI,Reviewed,5372,Tsu,12,30,55.3,18.0,6.7,6.7,6.8,6.4,,,,9.0,USA,CA,CALIFORNIA:  NORTHRIDGE,150,60.0,2.0,,,7000.0,4.0,40000.0,4.0,40000.0,4.0,,,60.0,2.0,,,7000.0,4.0,40000.0,4.0,40000.0,4.0,,
278,279,17,10,1992,6.845,-76.806,10/17/1992,8:32:41,Earthquake,14.3,,,6.7,MW,,,,,,1.0,USP0005FEY,US,US,HRV,Reviewed,5341,,8,32,40.5,14.0,7.0,,7.0,6.2,,,,,COLOMBIA,,"COLOMBIA:  MURINDO, CALI",160,,,,,20.0,1.0,,2.0,,3.0,,,,,,,20.0,1.0,,2.0,,3.0,,
279,280,17,11,1985,-1.639,134.911,11/17/1985,9:40:21,Earthquake,10.0,,,7.1,MW,,,,,,1.4,USP0002MVW,US,US,NC,Reviewed,5085,,9,40,21.2,10.0,7.1,,7.1,6.0,,,,8.0,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  MANOKWARI,170,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
280,281,17,11,1987,58.586,-143.27,11/17/1987,8:46:53,Earthquake,10.0,,,6.9,MS,,19.0,,,,,USP0003A6C,US,AGS,US,Reviewed,6472,Tsu,8,46,53.3,10.0,7.2,7.2,6.9,6.6,,,,,USA,AK,ALASKA:  GULF OF ALASKA,150,,,,,,,,,,,,,,,,,,,,,,,,
281,282,17,11,1988,12.399,124.537,11/17/1988,6:55:46,Earthquake,19.3,,,6.6,MW,,,,,,1.5,USP0003NXQ,US,US,HRV,Reviewed,5181,,6,55,46.0,19.0,6.6,6.6,6.6,6.0,,,,6.0,PHILIPPINES,,"PHILIPPINES:  SAMAR:  CATARMAN, CATBALOGAN",170,,,,,29.0,1.0,,1.0,,,,,,,,,29.0,1.0,,1.0,,,,
282,283,17,11,2000,-5.496,151.781,11/17/2000,21:01:56,Earthquake,33.0,,346.0,7.8,MWC,,,,,,1.07,USP000A45F,US,US,HRV,Reviewed,5583,,21,1,56.4,33.0,7.8,7.8,8.0,6.2,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW BRITAIN,170,,,,,,,,,,,,,,,,,,,,,,,,
283,284,17,11,2003,51.146,178.65,11/17/2003,6:43:07,Earthquake,33.0,,604.0,7.8,MWC,,,24.0,,,1.11,USP000CD1N,US,US,HRV,Reviewed,5735,Tsu,6,43,6.8,33.0,7.8,7.8,7.2,6.2,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,150,,,,,,,,,,,,,,,,,,,,,,,,
284,285,17,12,1979,-8.39,115.889,12/17/1979,19:58:24,Earthquake,33.0,,,6.3,MS,,,,,,,USP00014JY,US,US,US,Reviewed,4867,,19,58,23.8,33.0,6.3,,6.3,5.6,,,,,INDONESIA,,"INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK",170,27.0,1.0,,,200.0,3.0,,2.0,,,,,27.0,1.0,,,200.0,3.0,,,,,,
285,286,17,12,1987,35.362,140.214,12/17/1987,2:08:20,Earthquake,62.9,,,6.7,MW,,,,,,1.0,USP0003BBQ,US,US,NC,Reviewed,5153,,2,8,19.9,63.0,6.0,,,6.0,,,,8.0,JAPAN,,"JAPAN:  HONSHU:  CHIBA PERFECTURE, TOKYO",30,2.0,1.0,,,,,5.0,2.0,,,,,,,,,,,,,,,,
286,287,17,12,2006,0.626,99.859,12/17/2006,21:39:17,Earthquake,30.0,,290.0,5.8,MWC,,,29.7,,,1.13,USP000F0ER,US,US,GCMT,Reviewed,7444,,21,39,17.4,30.0,5.8,5.8,5.8,5.5,,,,,INDONESIA,,"INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI",170,7.0,1.0,,,100.0,2.0,,3.0,680.0,3.0,,,7.0,1.0,,,100.0,2.0,,3.0,680.0,2.0,,
287,288,17,2,1996,-0.891,136.952,2/17/1996,5:59:31,Earthquake,33.0,,,8.2,MW,,,,,,1.3,USP0007D1W,US,US,HRV,Reviewed,5433,Tsu,5,59,30.5,33.0,8.2,8.2,8.1,6.5,,,,,INDONESIA,,"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI",170,54.0,2.0,,,423.0,3.0,4.2,2.0,5043.0,4.0,,,164.0,3.0,,,423.0,3.0,4.2,2.0,5043.0,4.0,,
288,289,17,4,1990,39.436,74.9,4/17/1990,1:59:33,Earthquake,33.0,,,6.0,MW,,,,,,1.2,USP000480R,US,US,HRV,Reviewed,5230,,1,59,33.4,33.0,6.2,,6.2,6.0,,,,,CHINA,,CHINA:  S XINJIANG:  WUQIA COUNTY,40,,,,,2.0,1.0,,2.0,,3.0,,,,,,,2.0,1.0,,2.0,,3.0,,
289,290,17,4,2003,37.529,96.476,4/17/2003,0:48:39,Earthquake,14.0,,549.0,6.4,MWC,,,25.0,,,0.86,USP000BVBG,US,US,HRV,Reviewed,5691,,0,48,38.5,14.0,6.4,6.4,6.3,6.2,,,,,CHINA,,CHINA:  QINGHAI PROVINCE:  DELINGHA,30,,,,,,,,1.0,45.0,1.0,45.0,1.0,,,,,,,,1.0,45.0,1.0,,
290,291,17,4,2012,-32.625,-71.365,4/17/2012,3:50:16,Earthquake,29.0,,518.0,6.7,MWW,,,26.9,,,0.96,USP000JJ3U,US,US,US,Reviewed,9884,,3,50,15.6,29.0,6.7,6.7,6.2,6.2,,,,,CHILE,,CHILE:  VALPARAISO,160,2.0,1.0,,,,,,1.0,,,,2.0,2.0,1.0,,,,,,1.0,,,,2.0
291,292,17,4,2013,33.958,139.352,4/17/2013,8:57:34,Earthquake,8.8,3.6,249.0,5.6,MWB,,,65.0,,,1.21,USB000G9YI,US,US,US,Reviewed,10035,,8,57,33.9,9.0,5.8,5.8,5.5,5.6,,,,,JAPAN,,JAPAN: MIYAKEJIMA,30,,,,,3.0,1.0,,1.0,,,,2.0,,,,,3.0,1.0,,1.0,,,,2.0
292,293,17,5,1986,52.327,-174.504,5/17/1986,16:20:22,Earthquake,26.2,,,6.5,MW,,,,,,1.0,USP0002U3X,US,US,HRV,Reviewed,6468,Tsu,16,20,22.2,26.0,6.4,6.4,6.6,5.8,,,,,USA,AK,ALASKA:  ANDREANOF ISLANDS,150,,,,,,,,,,,,,,,,,,,,,,,,
293,294,17,5,1992,7.191,126.762,5/17/1992,10:15:31,Earthquake,33.0,,,7.3,MWB,,,,,,1.1,USP00057GV,US,US,US,Reviewed,5324,Tsu,10,15,31.3,33.0,7.5,,7.5,6.4,,,,,PHILIPPINES,,"PHILIPPINES:  MINDANAO, TANDAG, BISLIG",170,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
294,295,17,6,1990,27.398,65.719,6/17/1990,4:51:46,Earthquake,14.5,,,6.1,MW,,,,,,1.2,USP0004AMB,US,US,NC,Reviewed,5247,,4,51,45.5,15.0,6.3,,6.3,5.9,,,,,PAKISTAN,,PAKISTAN:  BALUCHISTAN,60,,,,,6.0,1.0,,1.0,,,,,,,,,6.0,1.0,,1.0,,,,
295,296,17,6,2000,63.966,-20.487,6/17/2000,15:40:42,Earthquake,10.0,,406.0,6.5,MWC,,,,,,1.03,USP0009URH,US,US,HRV,Reviewed,8209,,15,40,41.7,10.0,6.5,6.5,6.6,5.7,,,,,ICELAND,,"ICELAND:  VESTMANNAEYJAR, HELLA",120,,,,,1.0,1.0,20.0,3.0,11.0,1.0,11.0,1.0,,,,,1.0,1.0,20.0,3.0,11.0,1.0,19.0,1.0
296,297,17,7,1980,-12.525,165.916,7/17/1980,19:42:23,Earthquake,33.0,,,7.9,MS,,,,,,,USP00018Y0,US,US,US,Reviewed,4885,Tsu,19,42,23.2,33.0,7.9,,7.9,5.8,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS; VANUATU,170,,,,,,,,,,,,,,,,,,,,,,,,
297,298,17,7,1998,23.407,120.736,7/17/1998,4:51:15,Earthquake,12.6,5.5,,5.7,MWC,,,,,,1.06,USP0008RNV,US,US,HRV,Reviewed,5500,,4,51,14.7,13.0,5.7,5.7,5.4,5.5,,,,5.0,TAIWAN,,"TAIWAN:  CHIA-I, TAINAN, HUALIEN, KAO-HSIUNG",30,5.0,1.0,,,27.0,1.0,,1.0,,,,,5.0,1.0,,,27.0,1.0,,1.0,,,,
298,299,17,8,1976,7.249,122.939,8/17/1976,4:19:27,Earthquake,22.0,,,6.8,MS,,,,,,,USP0000HW4,US,US,US,Reviewed,7362,,4,19,27.3,22.0,6.8,,6.8,6.2,,,,,PHILIPPINES,,PHILIPPINES:  MINDANAO,170,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,
299,300,17,8,1983,18.231,120.86,8/17/1983,12:17:56,Earthquake,28.8,,,6.5,MS,,7.0,,,,1.1,USP0001XR0,US,US,US,Reviewed,4987,Tsu,12,17,56.0,29.0,6.5,,6.5,6.2,,,,8.0,PHILIPPINES,,PHILIPPINES:  LUZON,170,16.0,1.0,,,47.0,1.0,2.227,2.0,,3.0,,3.0,16.0,1.0,,,471.0,3.0,2.227,2.0,,3.0,,
300,301,17,8,1983,55.867,161.287,8/17/1983,10:55:54,Earthquake,62.6,5.4,,7.1,MW,,,,,,1.2,USP0001XQY,US,US,NC,Reviewed,6549,Tsu,10,55,54.1,63.0,6.5,,6.5,6.6,,,,,RUSSIA,,RUSSIA:  NEAR EAST COAST OF KAMCHATKA,50,,,,,,,,,,,,,,,,,,,,,,,,
301,302,17,8,1991,10.045,-69.948,8/17/1991,6:18:34,Earthquake,10.0,,,5.6,MW,,,,,,1.2,USP0004VFT,US,US,HRV,Reviewed,5303,,6,18,34.0,10.0,5.2,,5.2,5.5,,,,5.0,VENEZUELA,,VENEZUELA:  BARQUISIMETO,160,,,,,,,,2.0,,,100.0,2.0,,,,,,,,2.0,,,100.0,2.0
302,303,18,1,1981,38.64,142.75,1/18/1981,18:17:24,Earthquake,33.0,,,6.9,MS,,,,,,,USP0001BSS,US,US,US,Reviewed,6460,Tsu,18,17,24.4,33.0,6.9,,6.9,6.4,,,,,JAPAN,,JAPAN:  E. HONSHU ISLAND,30,,,,,,,,,,,,,,,,,,,,,,,,
303,304,18,1,1981,38.64,142.75,1/18/1981,18:11:28,Earthquake,33.0,,,7.0,MWC,,,,,,,GCMTC011881E,GCMT,GCMT,GCMT,Automatic,6460,Tsu,18,17,24.4,33.0,6.9,,6.9,6.4,,,,,JAPAN,,JAPAN:  E. HONSHU ISLAND,30,,,,,,,,,,,,,,,,,,,,,,,,
304,305,18,1,2011,28.777,63.951,1/18/2011,20:23:23,Earthquake,68.0,,372.0,7.2,MWW,,,25.3,,,1.3,USP000HTB4,US,US,US,Reviewed,9763,,20,23,23.4,68.0,7.2,7.2,,6.7,,,,,PAKISTAN,,"PAKISTAN: GARHI KHAIRO, QUETTA, BALOCHISTAN",60,3.0,1.0,,,,2.0,,2.0,200.0,3.0,200.0,3.0,3.0,1.0,,,,2.0,,2.0,,,200.0,3.0
305,306,18,10,1992,7.075,-76.862,10/18/1992,15:11:59,Earthquake,10.0,,,7.2,MWB,,,,,,1.3,USP0005FHA,US,US,US,Reviewed,5342,,15,11,59.1,10.0,7.4,,7.4,6.6,,,,,COLOMBIA,,"COLOMBIA:  MURINDO, APARTADO, MEDELLIN",160,11.0,1.0,,,115.0,2.0,,2.0,,2.0,,,11.0,1.0,,,115.0,2.0,,2.0,,,,
306,307,18,10,1995,27.929,130.175,10/18/1995,10:37:26,Earthquake,28.4,,,7.1,MW,,,,,,1.2,USP00075BD,US,US,HRV,Reviewed,6495,Tsu,10,37,26.3,28.0,7.1,7.1,6.9,6.4,,,,,JAPAN,,JAPAN:  RYUKU IS.,30,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,
307,308,18,10,1996,30.568,131.093,10/18/1996,10:50:21,Earthquake,10.0,,,6.6,MWC,,,,,,1.21,USP0007RKU,US,US,HRV,Reviewed,6332,Tsu,10,50,20.8,10.0,6.6,6.6,6.6,6.0,,,,,JAPAN,,JAPAN:  KYUSHU ISLAND,30,,,,,,,,,,,,,,,,,,,,,,,,
308,309,18,11,1997,37.57,20.656,11/18/1997,13:07:42,Earthquake,33.0,,,6.6,MWC,,,,,,1.36,USP0008AW5,US,US,HRV,Reviewed,5477,,13,7,41.7,33.0,6.6,6.6,6.4,5.9,,,,,GREECE,,"GREECE:  IONIAN SEA, AMALIAS, GARGALIANOI, KALAMAI",130,,,,,,,,1.0,,,,,,,,,,,,,,,,
309,310,18,11,2003,12.025,125.416,11/18/2003,17:14:23,Earthquake,35.0,,487.0,6.5,MWB,,,45.9,,,0.94,USP000CDB4,US,US,US,Reviewed,5736,,17,14,22.6,35.0,6.5,6.5,6.5,6.1,,,,7.0,PHILIPPINES,,PHILIPPINES:  SAMAR:  CAN-AVID,170,1.0,1.0,,,21.0,1.0,,2.0,1.0,1.0,,3.0,1.0,1.0,,,21.0,1.0,,2.0,1.0,1.0,,3.0
310,311,18,12,2001,23.954,122.734,12/18/2001,4:02:58,Earthquake,14.0,,499.0,6.8,MWC,,,,,,1.04,USP000AUSW,US,US,HRV,Reviewed,6613,Tsu,4,2,58.2,14.0,6.8,6.8,7.3,6.3,,,,,TAIWAN,,TAIWAN,30,,,,,,,,,,,,,,,,,,,,,,,,
311,312,18,3,1983,-4.883,153.581,3/18/1983,9:05:50,Earthquake,88.8,3.0,,7.6,MS,,9.0,,,,1.3,USP0001TR1,US,US,US,Reviewed,4965,Tsu,9,5,50.0,89.0,7.6,,7.6,6.5,,,,7.0,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW IRELAND,170,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
312,313,18,3,1985,7.758,123.544,3/18/1985,19:49:46,Earthquake,33.0,,,6.5,MW,,,,,,1.1,USP0002D0R,US,US,HRV,Reviewed,5061,,19,49,45.8,33.0,6.5,,6.5,6.0,,,,5.0,PHILIPPINES,,"PHILIPPINES:  PAGADIAN,  ZAMBOANGA",170,2.0,1.0,,,25.0,1.0,,2.0,30.0,1.0,,,2.0,1.0,,,25.0,1.0,,2.0,30.0,1.0,,
313,314,18,3,1987,32.034,131.837,3/18/1987,3:36:30,Earthquake,54.0,,,6.7,MW,,,,,,1.2,USP00033DD,US,US,HRV,Reviewed,5132,Tsu,3,36,30.3,54.0,6.7,,6.7,6.4,,,,,JAPAN,,"JAPAN:  KYUSHU:  MIYAZAKI, NAZE",30,2.0,1.0,,,5.0,1.0,,2.0,,,,,2.0,1.0,,,5.0,1.0,,2.0,,,,
314,315,18,4,1985,25.926,102.871,4/18/1985,5:52:53,Earthquake,5.0,,,5.8,MW,,,,,,1.4,USP0002DWY,US,US,HRV,Reviewed,5064,,5,52,52.8,5.0,5.8,,5.8,5.7,,,,8.0,CHINA,,CHINA:  YUNNAN PROVINCE,30,23.0,1.0,,,300.0,3.0,1.0,2.0,,,,,23.0,1.0,,,300.0,3.0,1.0,2.0,,,,
315,316,18,4,1990,1.186,122.857,4/18/1990,13:39:19,Earthquake,25.7,,,7.8,MW,,,,,,1.2,USP000482Z,US,US,PAR,Reviewed,5231,,13,39,19.0,26.0,7.6,7.6,7.4,6.2,,,,,INDONESIA,,INDONESIA:  MINAHASSA PENINSULA: BOLAANG-GORONTALO,170,3.0,1.0,,,25.0,1.0,,3.0,,,1140.0,4.0,3.0,1.0,,,25.0,1.0,,3.0,,,1140.0,4.0
316,317,18,4,1991,37.457,68.273,4/18/1991,9:18:30,Earthquake,33.0,,,5.5,MW,,,,,,1.0,USP0004QFN,US,US,HRV,Reviewed,5280,,9,18,30.4,33.0,5.1,,5.1,5.4,,,,7.0,AFGHANISTAN,,AFGHANISTAN:  BADAKHSTAN PROVINCE,40,,2.0,,,,3.0,,3.0,,,1000.0,3.0,,2.0,,,,3.0,,3.0,,,1000.0,3.0
317,318,18,4,1993,-11.652,-76.53,4/18/1993,9:16:23,Earthquake,106.3,,,6.3,MW,,,,,,1.0,USP0005RCG,US,US,HRV,Reviewed,5353,,9,16,23.2,106.0,6.3,6.3,,6.0,,,,,PERU,,PERU:  LIMA,160,6.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
318,319,18,4,2002,-27.535,-70.586,4/18/2002,16:08:37,Earthquake,62.0,,462.0,6.7,MWB,,,,,,1.09,USP000B2P9,US,US,US,Reviewed,5630,,16,8,36.7,62.0,6.6,6.6,,6.2,,,,,CHILE,,"CHILE:  COPIAPO, TALTAL",160,,,,,19.0,1.0,,2.0,34.0,1.0,575.0,3.0,,,,,19.0,1.0,,2.0,34.0,1.0,575.0,3.0
319,320,18,4,2010,35.633,67.658,4/18/2010,20:28:50,Earthquake,13.0,,262.0,5.6,MWC,,,33.9,,,0.84,USP000HBMK,US,US,GCMT,Reviewed,9012,,20,28,50.2,13.0,5.6,5.6,5.4,5.7,,,,,AFGHANISTAN,,AFGHANISTAN:  SAMANGAN PROVINCE,40,11.0,1.0,,,70.0,2.0,,4.0,2000.0,4.0,,,11.0,1.0,,,70.0,2.0,,4.0,2000.0,4.0,,
320,321,18,5,1980,43.294,20.837,5/18/1980,20:02:57,Earthquake,9.0,,,5.8,MS,,,,,,,USP00017A5,US,US,US,Reviewed,4877,,20,2,57.5,9.0,5.8,,5.8,5.7,,,,8.0,SERBIA AND MONTENEGRO,,BALKANS NW:  SERBIA,130,,,,,30.0,1.0,5.0,2.0,,,,,,,,,50.0,1.0,5.0,2.0,,,,
321,322,18,5,2002,-2.907,33.733,5/18/2002,15:15:09,Earthquake,10.0,,172.0,5.5,MWC,,,,,,0.94,USP000B4J1,US,US,HRV,Reviewed,5636,,15,15,8.8,10.0,5.5,5.5,5.5,5.2,,,,,TANZANIA,,TANZANIA:  BUNDA,10,2.0,1.0,,,,,,2.0,690.0,3.0,700.0,3.0,2.0,1.0,,,,,,2.0,690.0,3.0,700.0,3.0
322,323,18,6,1994,-42.963,171.658,6/18/1994,3:25:16,Earthquake,13.6,,,6.8,MW,,,,,,1.3,USP0006EFU,US,US,HRV,Reviewed,5389,,3,25,15.8,14.0,6.8,6.8,7.1,6.2,,,,6.0,NEW ZEALAND,,NEW ZEALAND:  SOUTH ISLAND:  CHRISTCHURCH,170,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
323,324,18,6,2000,-13.802,97.453,6/18/2000,14:44:13,Earthquake,10.0,,405.0,7.9,MWC,,,,,,1.16,USP0009UT0,US,US,HRV,Reviewed,5565,Tsu,14,44,13.3,10.0,7.9,7.9,7.8,6.8,,,,,AUSTRALIA,,"AUSTRALIA:  S, COCOS ISLANDS",60,,,,,,,,,,,,,,,,,,,,,,,,
324,325,18,6,2007,34.437,50.833,6/18/2007,14:29:48,Earthquake,5.0,,383.0,5.5,MWB,,,38.7,,,1.25,USP000FE9M,US,US,US,Reviewed,7535,,14,29,48.2,5.0,5.5,5.5,5.1,5.3,,,,,IRAN,,IRAN:  QOM,140,,,,,,,,1.0,,2.0,,2.0,,,,,,,,1.0,,2.0,,
325,326,18,6,2010,13.197,93.087,6/18/2010,23:09:31,Earthquake,20.0,,376.0,5.9,MWC,,,27.9,,,0.86,USP000HE8Q,US,US,GCMT,Reviewed,9765,,23,9,31.0,20.0,5.9,5.9,5.9,6.1,,,,,INDIA,,INDIA:  ANDAMAN ISLANDS:  DIGLIPUR,60,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,2.0
326,327,18,6,2013,54.263,86.173,6/18/2013,23:02:10,Earthquake,9.9,2.2,131.0,5.6,MB,,505.0,18.0,,,0.59,USC000HUL6,US,US,US,Reviewed,10007,,23,2,9.8,10.0,5.3,5.3,,5.6,,,,,RUSSIA,,RUSSIA:  KEMEROVO,40,,,,,,,,1.0,,,500.0,3.0,,,,,,,,1.0,,,500.0,3.0
327,328,18,7,1986,10.77,-69.428,7/18/1986,17:22:38,Earthquake,7.2,,,5.5,MW,,,,,,1.0,USP0002W52,US,US,HRV,Reviewed,5104,,17,22,38.2,7.0,4.9,,4.9,5.9,,,,,VENEZUELA,,"VENEZUELA:  CHURUGUARA,  FALCON, LARA",160,1.0,1.0,,,,,,1.0,30.0,1.0,,,1.0,1.0,,,,,,1.0,30.0,1.0,,
328,329,18,7,1990,36.99,29.595,7/18/1990,11:29:25,Earthquake,17.2,,,5.5,MW,,,,,,1.2,USP0004C4Y,US,US,HRV,Reviewed,5255,,11,29,24.9,17.0,5.1,,5.1,5.2,,,,,TURKEY,,"TURKEY:  CAMELI, DENIZLI",140,,,,,,,,2.0,,,393.0,3.0,,,,,,,,2.0,,,393.0,3.0
329,330,18,7,1991,44.888,22.407,7/18/1991,11:56:31,Earthquake,11.6,,,5.6,MW,,,,,,1.2,USP0004UAJ,US,US,HRV,Reviewed,5299,,11,56,30.6,12.0,5.6,5.6,5.5,5.7,,,,8.0,ROMANIA,,ROMANIA:  ORSAVA,110,,,,,,,,2.0,,,615.0,3.0,,,,,,,,2.0,,,615.0,3.0
330,331,18,7,1992,39.419,143.33,7/18/1992,8:36:59,Earthquake,28.6,,,6.9,MW,,,,,,1.0,USP0005B1C,US,US,HRV,Reviewed,6484,Tsu,8,36,58.7,29.0,7.0,,7.0,6.2,,,,,JAPAN,,JAPAN:  HONSHU ISLAND,30,,,,,,,,,,,,,,,,,,,,,,,,
331,332,18,7,2004,-38.0,176.51,7/18/2004,4:22:23,Earthquake,5.0,,92.0,5.6,MWB,,,90.7,,,,USP000D0D2,US,WEL,US,Reviewed,5791,,4,22,22.6,5.0,5.4,5.4,5.1,5.1,,,,,NEW ZEALAND,,"NEW ZEALAND:  NORTH ISLAND:  ROTORUA, TAURANGA",170,1.0,1.0,,,2.0,1.0,,2.0,,,5.0,1.0,1.0,1.0,,,2.0,1.0,,2.0,,,5.0,1.0
332,333,18,8,1980,-1.948,-80.017,8/18/1980,15:07:53,Earthquake,55.0,,,5.6,MB,,,,,,,USP00019ER,US,US,US,Reviewed,4891,,15,7,52.6,55.0,5.6,,,5.6,,,,,ECUADOR,,"ECUADOR:  W, GUAYAQUIL",160,8.0,1.0,,,100.0,2.0,5.0,2.0,,,,,8.0,1.0,,,100.0,2.0,5.0,2.0,,,,
333,334,18,8,1994,35.52,-0.106,8/18/1994,1:13:06,Earthquake,8.7,,,5.9,MW,,,,,,1.2,USP0006H33,US,US,HRV,Reviewed,5391,,1,13,5.7,9.0,5.9,5.9,5.9,5.7,,,,,ALGERIA,,ALGERIA:  MASCARA,15,171.0,3.0,,,,,,4.0,,4.0,,4.0,171.0,3.0,,,,,,4.0,,4.0,,
334,335,18,8,2003,29.573,95.605,8/18/2003,9:03:04,Earthquake,33.0,,344.0,5.5,MWB,,,34.7,,,0.92,USP000C58M,US,US,US,Reviewed,5717,,9,3,3.5,33.0,5.5,5.5,5.3,5.6,,,,,CHINA,,"CHINA:  TIBET (XIZANG PROVINCE): BOMI,MEDOG,NYINGCHI",40,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
335,336,18,8,2012,-1.315,120.096,8/18/2012,9:41:52,Earthquake,10.0,,359.0,6.3,MWW,,,15.6,,,1.24,USP000JQF3,US,US,US,Reviewed,9938,,9,41,52.4,10.0,6.3,6.3,6.1,5.8,,,,,INDONESIA,,"INDONESIA:  SULAWESI:  SIGI, PARIGI MOUNTONG",170,6.0,1.0,,,43.0,1.0,,4.0,471.0,3.0,1097.0,4.0,6.0,1.0,,,43.0,1.0,,4.0,471.0,3.0,1097.0,4.0
336,337,18,9,1984,34.006,141.5,9/18/1984,17:02:44,Earthquake,47.6,1.6,,6.8,MW,,,,,,1.0,USP00027GA,US,US,HRV,Reviewed,6467,Tsu,17,2,44.3,48.0,6.9,,6.9,6.6,,,,,JAPAN,,JAPAN:  HONSHU ISLAND,30,,,,,,,,,,,,,,,,,,,,,,,,
337,338,18,9,1984,40.885,42.219,9/18/1984,13:26:02,Earthquake,10.0,,,5.5,MW,,,,,,1.2,USP00027G4,US,US,HRV,Reviewed,5047,,13,26,1.8,10.0,6.4,,6.4,5.3,,,,8.0,TURKEY,,"TURKEY:  E, ERZURUM, OLUR-SENKAYA",140,3.0,1.0,,,38.0,1.0,,2.0,75000.0,4.0,,,3.0,1.0,,,38.0,1.0,,3.0,75000.0,4.0,,
338,339,18,9,1991,14.646,-90.986,9/18/1991,9:48:13,Earthquake,5.0,,,6.2,MW,,,,,,1.3,USP0004WRV,US,US,HRV,Reviewed,5306,,9,48,13.1,5.0,6.2,,6.2,5.7,,,,6.0,GUATEMALA,,"GUATEMALA:  GUATEMALA CITY, PACHUTA, SOLOLA",100,25.0,1.0,,,200.0,3.0,,3.0,,,,,25.0,1.0,,,200.0,3.0,,3.0,,,,
339,340,18,9,2009,-9.138,115.593,9/18/2009,23:06:58,Earthquake,79.0,4.8,375.0,5.7,MWC,,,24.0,,,1.09,USP000H1N7,US,US,US,Reviewed,8534,,23,6,57.7,79.0,5.7,5.7,,6.0,,,,,INDONESIA,,INDONESIA:  BALI:  DENPASAR,170,,,,,7.0,1.0,,1.0,,,,2.0,,,,,7.0,1.0,,1.0,,,,2.0
340,341,18,9,2009,6.513,124.715,9/18/2009,11:53:48,Earthquake,10.0,,88.0,5.7,MWC,,,40.4,,,1.13,USP000H1MU,US,US,US,Reviewed,8533,,11,53,48.0,10.0,5.7,5.7,5.2,5.4,,,,,PHILIPPINES,,"PHILIPPINES:  COTABATO, SULTAN KUDARAT",170,,,,,91.0,2.0,,1.0,,,,,,,,,91.0,2.0,,1.0,,,76.0,2.0
