,Unnamed: 0,DAY,MONTH,YEAR,LATITUDE,LONGITUDE,Date,Time,Type,Depth,Depth.Error,Depth.Seismic.Stations,Magnitude,Magnitude.Type,Magnitude.Error,Magnitude.Seismic.Stations,Azimuthal.Gap,Horizontal.Distance,Horizontal.Error,Root.Mean.Square,ID,Source,Location.Source,Magnitude.Source,Status,I_D,FLAG_TSUNAMI,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
12,13,1,11,2011,43.648,82.437,11/1/2011,0:21:28,Earthquake,28.0,,512.0,5.6,MWW,,,16.1,,,0.78,USP000JA68,US,US,US,Reviewed,9849,,0,21,28.0,28.0,5.6,5.6,5.4,6.0,,,,,CHINA,,CHINA:  XINJIANG PROVINCE,40,,,,,,,10.5,3.0,2453.0,4.0,,3.0,,,,,,,10.5,3.0,2453.0,2.0,,3.0
13,14,1,12,2003,42.905,80.515,12/1/2003,1:38:32,Earthquake,10.0,,502.0,6.0,MWC,,,29.8,,,1.05,USP000CE8K,US,US,HRV,Reviewed,5738,,1,38,31.9,10.0,6.0,6.0,5.9,6.0,,,,,CHINA,,CHINA:  XINJIANG:  ZHAOSU,40,11.0,1.0,,,47.0,1.0,,3.0,769.0,3.0,,,11.0,1.0,,,47.0,1.0,,3.0,769.0,3.0,,
14,15,1,2,1984,34.616,70.484,2/1/1984,14:22:08,Earthquake,33.0,,,6.1,MW,,,,,,1.2,USP00021QK,US,US,HRV,Reviewed,5022,,14,22,7.9,33.0,5.8,,5.8,5.9,,,,4.0,AFGHANISTAN,,"AFGHANISTAN:  KHOROG, JALALABAD; PAKISTAN",40,1.0,1.0,,,35.0,1.0,5.0,2.0,,,,,1.0,1.0,,,35.0,1.0,5.0,2.0,,,,
15,16,1,2,1992,35.106,139.644,2/1/1992,19:04:05,Earthquake,100.0,,,5.8,MW,,,,,,0.9,USP00052GF,US,US,HRV,Reviewed,8252,,19,4,4.5,100.0,5.6,,,5.6,,,,,JAPAN,,JAPAN:  HONSHU:  TOKYO,30,,,,,37.0,1.0,,1.0,,,,,,,,,37.0,1.0,,1.0,,,,
16,17,1,3,1994,29.096,52.617,3/1/1994,3:49:01,Earthquake,12.9,,,6.1,MW,,,,,,1.1,USP000693T,US,US,HRV,Reviewed,5381,,3,49,0.8,13.0,6.1,6.1,6.0,5.8,,,,,IRAN,,IRAN:  SOUTHERN:  FIRUZABAD,140,2.0,1.0,,,50.0,1.0,,1.0,,,,1.0,2.0,1.0,,,50.0,1.0,,1.0,,,,1.0
17,18,1,3,1997,39.422,76.839,3/1/1997,6:04:14,Earthquake,22.4,,,5.6,MWC,,,,,,1.08,USP0007Y20,US,US,HRV,Reviewed,5452,,6,4,14.1,22.0,5.6,5.6,5.5,5.2,,,,,CHINA,,"CHINA:  S. XINJIANG, JIASHI COUNTY, KASHI",40,2.0,1.0,,,6.0,1.0,,3.0,4000.0,3.0,,,2.0,1.0,,,6.0,1.0,,3.0,4000.0,4.0,,
18,19,1,3,2004,37.136,22.116,3/1/2004,0:35:58,Earthquake,9.4,3.7,522.0,5.6,MWB,,,40.1,,,1.22,USP000CNSJ,US,US,US,Reviewed,5766,,0,35,58.0,9.0,5.2,5.2,4.8,5.4,5.1,,,,GREECE,,GREECE:  SOUTHERN:  KALAMATA,130,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0
19,20,1,4,2002,-29.67,-71.384,4/1/2002,19:59:32,Earthquake,71.0,,434.0,6.4,MWC,,,,,,0.87,USP000B1HZ,US,US,HRV,Reviewed,5628,,19,59,32.4,71.0,6.4,6.4,,6.1,,,,,CHILE,,"CHILE:  CENTRAL:  COQUIMBO, LA SERENA, OVALLE",160,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
20,21,1,4,2006,22.868,121.278,4/1/2006,10:02:20,Earthquake,9.0,,429.0,6.1,MWB,,,17.9,,,1.02,USP000EDE6,US,US,US,Reviewed,7236,,10,2,19.5,9.0,6.2,6.2,6.1,6.0,,,,,TAIWAN,,TAIWAN:  T'AIT-TUNG,30,,,,,42.0,1.0,,1.0,,2.0,,,,,,,42.0,1.0,,1.0,,2.0,,
21,22,1,4,2007,-8.466,157.043,4/1/2007,20:39:59,Earthquake,24.0,,439.0,8.1,MWC,,,14.7,,,1.32,USP000F83M,US,US,GCMT,Reviewed,7457,Tsu,20,39,56.3,24.0,8.1,8.1,7.9,6.8,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS,170,54.0,2.0,,,,,,3.0,300.0,3.0,500.0,3.0,54.0,2.0,,,,,,3.0,2500.0,4.0,500.0,3.0
22,23,1,5,1994,36.901,67.163,5/1/1994,12:00:36,Earthquake,18.5,,,6.1,MWB,,,,,,1.1,USP0006BVU,US,US,US,Reviewed,5384,,12,0,35.7,19.0,6.1,6.1,6.3,6.0,,,,6.0,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  TASHIAK, TERMIZ",40,160.0,3.0,,,,,,,,,,,,,,,160.0,3.0,,,,,,
23,24,1,5,2003,39.007,40.464,5/1/2003,0:27:05,Earthquake,10.0,,504.0,6.4,MWB,,,30.9,,,1.09,USP000BWBC,US,US,US,Reviewed,5692,,0,27,4.7,10.0,6.4,6.4,6.4,5.7,,,,,TURKEY,,TURKEY:  BINGOL,140,177.0,3.0,,,521.0,3.0,,3.0,718.0,3.0,718.0,3.0,177.0,3.0,,,521.0,3.0,,3.0,718.0,3.0,2593.0,4.0
24,25,1,5,2013,33.061,75.863,5/1/2013,6:57:13,Earthquake,15.0,,137.0,5.7,MWW,,,25.0,,,1.11,USB000GJHZ,US,US,US,Reviewed,9991,,6,57,13.4,15.0,5.7,5.7,5.6,5.6,,,,,INDIA,,"INDIA:  KASHMIR:  DODA, KISHTWAR, RAMBAN",60,3.0,1.0,,,90.0,2.0,19.5,3.0,1136.0,4.0,95532.0,4.0,3.0,1.0,,,90.0,2.0,19.5,3.0,1136.0,4.0,95532.0,4.0
25,26,1,6,2013,7.275,124.898,6/1/2013,14:10:07,Earthquake,10.0,,82.0,5.6,MWW,,,36.1,,,0.96,USB000HBDE,US,US,US,Reviewed,10003,,14,10,6.7,10.0,5.7,5.7,5.6,5.7,,,,,PHILIPPINES,,"PHILIPPINES:  N. COTABATO:  KIMADZIL, KIBUGTONGAN",170,,,,,33.0,1.0,,1.0,,,164.0,3.0,,,,,33.0,1.0,,1.0,,,164.0,3.0
26,27,1,7,1979,8.316,-82.943,7/1/1979,20:38:04,Earthquake,28.0,,,6.5,MS,,,,,,,USP00011NK,US,US,US,Reviewed,4838,,20,38,4.0,28.0,6.5,,6.5,5.5,,,,,PANAMA,,PANAMA-COSTA RICA:  PUERTO ARMUELLES,100,,,,,,,2.0,2.0,,,,,,,,,,,2.0,2.0,,,,
27,28,1,7,2000,34.221,139.131,7/1/2000,7:01:56,Earthquake,10.0,,355.0,6.1,MWC,,,,,,1.04,USP0009VHB,US,US,HRV,Reviewed,5568,Tsu,7,1,55.5,10.0,6.1,6.1,6.1,6.0,,,,,JAPAN,,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,30,1.0,1.0,,,,3.0,,1.0,,,,,1.0,1.0,,,,3.0,,1.0,,,,
